source,target,type,id,label,timeset,weight,colab_track_popularity,colab_track_name,colab_track
Bad Bunny,Jhay Cortez,Directed,0,,,6,94,Tarot,"[[""Tarot"", 94], [""D\u00c1KITI"", 80], [""C\u00d3MO SE SIENTE - Remix"", 0], [""D\u00c1KITI"", 83], [""C\u00d3MO SE SIENTE - Remix"", 82], [""No Me Conoce - Remix"", 75]]"
Bad Bunny,Tony Dize,Directed,1,,,1,91,La Corriente,"[[""La Corriente"", 91]]"
Bad Bunny,Rauw Alejandro,Directed,2,,,1,94,Party,"[[""Party"", 94]]"
Bad Bunny,Bomba Estéreo,Directed,3,,,1,97,Ojitos Lindos,"[[""Ojitos Lindos"", 97]]"
Bad Bunny,Buscabulla,Directed,4,,,1,89,Andrea,"[[""Andrea"", 89]]"
Bad Bunny,Tainy,Directed,5,,,4,89,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"[[""Callaita"", 84], [""Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)"", 89], [""UN DIA (ONE DAY) (Feat. Tainy)"", 76], [""Callaita"", 81]]"
Bad Bunny,ROSALÍA,Directed,6,,,1,82,LA NOCHE DE ANOCHE,"[[""LA NOCHE DE ANOCHE"", 82]]"
Bad Bunny,Zion & Lennox,Directed,7,,,1,65,MÁS DE UNA CITA,"[[""M\u00c1S DE UNA CITA"", 65]]"
Bad Bunny,Yandel,Directed,8,,,3,77,CANCIÓN CON YANDEL,"[[""CANCI\u00d3N CON YANDEL"", 77], [""Expl\u00edcale (feat. Cosculluela & Brytiago) - Remix"", 63], [""B\u00e1ilame - Remix"", 53]]"
Bad Bunny,Don Omar,Directed,9,,,1,71,PA' ROMPERLA,"[[""PA' ROMPERLA"", 71]]"
Bad Bunny,Nicky Jam,Directed,10,,,4,78,Te Boté - Remix,"[[""BAD CON NICKY"", 69], [""Satisfacci\u00f3n"", 54], [""Te Bot\u00e9 - Remix"", 78], [""El Amante - Remix"", 17]]"
Bad Bunny,Daddy Yankee,Directed,11,,,6,84,La Santa,"[[""La Santa"", 84], [""Soltera - Remix"", 74], [""Como Soy"", 44], [""El Combo Me Llama 2"", 48], [""Tu No Metes Cabra - Remix"", 68], [""Vuelve"", 77]]"
Bad Bunny,Yaviah,Directed,12,,,1,78,Bichiyal,"[[""Bichiyal"", 78]]"
Bad Bunny,Ñengo Flow,Directed,13,,,3,82,Diles,"[[""Que Malo"", 75], [""Safaera"", 80], [""Diles"", 82]]"
Bad Bunny,Sech,Directed,14,,,3,83,Volando - Remix,"[[""Ignorantes"", 73], [""Volando - Remix"", 83], [""Ignorantes"", 72]]"
Bad Bunny,Mora,Directed,15,,,2,83,Volando - Remix,"[[""Una Vez"", 80], [""Volando - Remix"", 83]]"
Bad Bunny,Jowell & Randy,Directed,16,,,1,80,Safaera,"[[""Safaera"", 80]]"
Bad Bunny,Anuel AA,Directed,17,,,2,72,Está Cabrón Ser Yo,"[[""Est\u00e1 Cabr\u00f3n Ser Yo"", 72], [""Tu No Metes Cabra - Remix"", 68]]"
Bad Bunny,Myke Towers,Directed,18,,,2,65,Puesto Pa' Guerrial,"[[""Puesto Pa' Guerrial"", 65], [""Estamos Arriba"", 64]]"
Bad Bunny,Kendo Kaponi,Directed,19,,,1,67,P FKN R,"[[""P FKN R"", 67]]"
Bad Bunny,Arcangel,Directed,20,,,12,82,Diles,"[[""P FKN R"", 67], [""Satisfacci\u00f3n"", 54], [""Original"", 61], [""Dime"", 59], [""El Favorito de los Capo - Remix"", 35], [""Favorito de los Capo (Remix)"", 31], [""Favorito De Los Capo - Remix"", 44], [""Panamera - Remix"", 39], [""Soy Peor - Remix"", 67], [""Me Mata"", 73], [""Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)"", 75], [""Diles"", 82]]"
Bad Bunny,Duki,Directed,21,,,2,74,Loca - Remix,"[[""Hablamos Ma\u00f1ana"", 72], [""Loca - Remix"", 74]]"
Bad Bunny,Pablo Chill-E,Directed,22,,,1,72,Hablamos Mañana,"[[""Hablamos Ma\u00f1ana"", 72]]"
Bad Bunny,J Balvin,Directed,23,,,10,80,UN PESO,"[[""MOJAITA"", 70], [""UN PESO"", 80], [""COMO UN BEB\u00c9"", 73], [""AM Remix"", 80], [""UN DIA (ONE DAY) (Feat. Tainy)"", 76], [""No Me Conoce - Remix"", 75], [""I Like It - Dillon Francis Remix"", 58], [""I Like It"", 50], [""Dime"", 59], [""Soy Peor - Remix"", 67]]"
Bad Bunny,Marciano Cantero,Directed,24,,,1,80,UN PESO,"[[""UN PESO"", 80]]"
Bad Bunny,El Alfa,Directed,25,,,1,75,La Romana,"[[""La Romana"", 75]]"
Bad Bunny,Julieta Venegas,Directed,26,,,1,89,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"[[""Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)"", 89]]"
Bad Bunny,Aventura,Directed,27,,,1,84,Volví,"[[""Volv\u00ed"", 84]]"
Bad Bunny,Nio Garcia,Directed,28,,,2,80,AM Remix,"[[""AM Remix"", 80], [""Te Bot\u00e9 - Remix"", 78]]"
Bad Bunny,Luar La L,Directed,29,,,1,66,100 MILLONES,"[[""100 MILLONES"", 66]]"
Bad Bunny,Ivy Queen,Directed,30,,,1,62,Yo Perreo Sola - Remix,"[[""Yo Perreo Sola - Remix"", 62]]"
Bad Bunny,Ricky Martin,Directed,31,,,1,54,Cántalo,"[[""C\u00e1ntalo"", 54]]"
Bad Bunny,Omy de Oro,Directed,32,,,1,59,Subimos de Rango,"[[""Subimos de Rango"", 59]]"
Bad Bunny,Eladio Carrion,Directed,33,,,1,71,Kemba Walker,"[[""Kemba Walker"", 71]]"
Bad Bunny,Lunay,Directed,34,,,1,74,Soltera - Remix,"[[""Soltera - Remix"", 74]]"
Bad Bunny,Marc Anthony,Directed,35,,,1,66,Está Rico,"[[""Est\u00e1 Rico"", 66]]"
Bad Bunny,Pacho El Antifeka,Directed,36,,,1,44,Como Soy,"[[""Como Soy"", 44]]"
Bad Bunny,"Héctor ""El Father""",Directed,37,,,1,52,Vamos Pa' la Calle,"[[""Vamos Pa' la Calle"", 52]]"
Bad Bunny,Ñejo,Directed,38,,,1,71,¿Cual Es Tu Plan?,"[[""\u00bfCual Es Tu Plan?"", 71]]"
Bad Bunny,Pj Sin Suela,Directed,39,,,1,71,¿Cual Es Tu Plan?,"[[""\u00bfCual Es Tu Plan?"", 71]]"
Bad Bunny,DJ Nelson,Directed,40,,,1,71,¿Cual Es Tu Plan?,"[[""\u00bfCual Es Tu Plan?"", 71]]"
Bad Bunny,Bryant Myers,Directed,41,,,7,75,Pa Ti,"[[""Te Descuido"", 43], [""Me Llueven (Extended Version)"", 44], [""Un Ratito Mas"", 71], [""Me Mata"", 73], [""Me Llueven 3.0"", 55], [""Pa Ti"", 75], [""Caile"", 67]]"
Bad Bunny,Casper Magico,Directed,42,,,1,78,Te Boté - Remix,"[[""Te Bot\u00e9 - Remix"", 78]]"
Bad Bunny,Darell,Directed,43,,,2,78,Te Boté - Remix,"[[""Te Bot\u00e9 - Remix"", 78], [""Otra Vez"", 51]]"
Bad Bunny,Ozuna,Directed,44,,,4,82,Diles,"[[""Te Bot\u00e9 - Remix"", 78], [""Soy Peor - Remix"", 67], [""El Amante - Remix"", 17], [""Diles"", 82]]"
Bad Bunny,Cosculluela,Directed,45,,,3,73,Madura (feat. Bad Bunny),"[[""Madura (feat. Bad Bunny)"", 73], [""Expl\u00edcale (feat. Cosculluela & Brytiago) - Remix"", 63], [""Tu No Metes Cabra - Remix"", 68]]"
Bad Bunny,Noriel,Directed,46,,,6,73,Me Mata,"[[""Expl\u00edcale (feat. Cosculluela & Brytiago) - Remix"", 63], [""El Combo Me Llama 2"", 48], [""Me Llueven (Extended Version)"", 44], [""Me Mata"", 73], [""Me Llueven 3.0"", 55], [""Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix"", 64]]"
Bad Bunny,Brytiago,Directed,47,,,3,73,Me Mata,"[[""Expl\u00edcale (feat. Cosculluela & Brytiago) - Remix"", 63], [""Netflixxx"", 69], [""Me Mata"", 73]]"
Bad Bunny,Revol,Directed,48,,,2,67,Caile,"[[""Dime"", 59], [""Caile"", 67]]"
Bad Bunny,De La Ghetto,Directed,49,,,2,67,Caile,"[[""Dime"", 59], [""Caile"", 67]]"
Bad Bunny,KHEA,Directed,50,,,1,74,Loca - Remix,"[[""Loca - Remix"", 74]]"
Bad Bunny,Cazzu,Directed,51,,,1,74,Loca - Remix,"[[""Loca - Remix"", 74]]"
Bad Bunny,Alex Sensation,Directed,52,,,1,55,Fantasía,"[[""Fantas\u00eda"", 55]]"
Bad Bunny,Benny Benni,Directed,53,,,1,48,El Combo Me Llama 2,"[[""El Combo Me Llama 2"", 48]]"
Bad Bunny,Pusho,Directed,54,,,1,48,El Combo Me Llama 2,"[[""El Combo Me Llama 2"", 48]]"
Bad Bunny,Farruko,Directed,55,,,5,82,Diles,"[[""El Combo Me Llama 2"", 48], [""Krippy Kush (feat. Travis Scott & Rvssian) - Travis Scott Remix"", 49], [""Krippy Kush (feat. 21 Savage & Rvssian) - Remix"", 52], [""Blockia"", 57], [""Diles"", 82]]"
Bad Bunny,Miky Woodz,Directed,56,,,1,48,El Combo Me Llama 2,"[[""El Combo Me Llama 2"", 48]]"
Bad Bunny,Natti Natasha,Directed,57,,,1,67,Amantes de una Noche,"[[""Amantes de una Noche"", 67]]"
Bad Bunny,Rvssian,Directed,58,,,2,52,Krippy Kush (feat. 21 Savage & Rvssian) - Remix,"[[""Krippy Kush (feat. Travis Scott & Rvssian) - Travis Scott Remix"", 49], [""Krippy Kush (feat. 21 Savage & Rvssian) - Remix"", 52]]"
Bad Bunny,KAROL G,Directed,59,,,2,65,Ahora Me Llama - Remix,"[[""Ahora Me Llama - Remix"", 65], [""Ahora Me Llama"", 60]]"
Bad Bunny,Becky G,Directed,60,,,2,66,Mayores,"[[""Mayores - Urban Tropical"", 47], [""Mayores"", 66]]"
Bad Bunny,Amenazzy,Directed,61,,,1,53,Lean,"[[""Lean"", 53]]"
Bad Bunny,Lito Kirino,Directed,62,,,1,53,Lean,"[[""Lean"", 53]]"
Bad Bunny,Nacho,Directed,63,,,1,53,Báilame - Remix,"[[""B\u00e1ilame - Remix"", 53]]"
Bad Bunny,DJ Luian,Directed,64,,,5,82,Diles,"[[""B\u00e1ilame - Remix"", 53], [""Blockia"", 57], [""Me Mata"", 73], [""Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)"", 75], [""Diles"", 82]]"
Bad Bunny,Almighty,Directed,65,,,7,73,Me Mata,"[[""Panamera - Remix"", 39], [""Me Llueven (Extended Version)"", 44], [""Me Mata"", 73], [""Me Llueven 3.0"", 55], [""Me Llueven 2"", 47], [""Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix"", 64], [""Crecia"", 57]]"
Bad Bunny,Quimico Ultra Mega,Directed,66,,,3,47,Me Llueven 2,"[[""Panamera - Remix"", 39], [""Me Llueven (Extended Version)"", 44], [""Me Llueven 2"", 47]]"
Bad Bunny,Mark B.,Directed,67,,,1,44,Me Llueven (Extended Version),"[[""Me Llueven (Extended Version)"", 44]]"
Bad Bunny,Kevin Roldan,Directed,69,,,3,55,Me Llueven 3.0,"[[""Me Llueven (Extended Version)"", 44], [""Tranquilo"", 48], [""Me Llueven 3.0"", 55]]"
Bad Bunny,Messiah,Directed,71,,,1,50,Give It Up,"[[""Give It Up"", 50]]"
Bad Bunny,Baby Rasta,Directed,72,,,1,73,Me Mata,"[[""Me Mata"", 73]]"
Bad Bunny,Lary Over,Directed,73,,,1,46,Trepate,"[[""Trepate"", 46]]"
Bad Bunny,Jory Boy,Directed,75,,,1,74,No Te Hagas,"[[""No Te Hagas"", 74]]"
Bad Bunny,Trap Capos,Directed,76,,,1,64,Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,"[[""Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix"", 64]]"
Bad Bunny,Justin Quiles,Directed,77,,,1,57,Crecia,"[[""Crecia"", 57]]"
Bad Bunny,Zion,Directed,78,,,1,67,Caile,"[[""Caile"", 67]]"
Jhay Cortez,Anuel AA,Directed,79,,,5,79,Ley Seca,"[[""Ley Seca"", 79], [""S\u00fabelo"", 74], [""Ley Seca"", 67], [""Fiel - Remix"", 73], [""Medusa"", 68]]"
Jhay Cortez,Kendo Kaponi,Directed,80,,,1,54,Ropa Interior,"[[""Ropa Interior"", 54]]"
Jhay Cortez,Arcangel,Directed,81,,,2,56,La Calle,"[[""Los Bandoleros"", 53], [""La Calle"", 56]]"
Jhay Cortez,Myke Towers,Directed,82,,,11,74,Súbelo,"[[""Los Bo"", 54], [""Subiendo De Nivel - Remix"", 59], [""Perder El Tiempo"", 36], [""Se Supone - RMX"", 43], [""S\u00fabelo"", 74], [""S\u00daBELE EL VOLUMEN"", 66], [""Fiel - Remix"", 73], [""Los Bo"", 57], [""La Calle"", 56], [""Costear - Equipo Negro Remix"", 46], [""Se Supone - RMX"", 52]]"
Jhay Cortez,Buscabulla,Directed,83,,,1,47,Eternamente,"[[""Eternamente"", 47]]"
Jhay Cortez,J Balvin,Directed,84,,,7,82,No Me Conoce - Remix,"[[""No Me Conoce - Remix"", 34], [""No Me Conoce - Remix"", 82], [""Est\u00e1n Pa\u00b4 M\u00ed"", 31], [""Medusa"", 68], [""No Me Conoce - Remix"", 75], [""Bajo Cero"", 43], [""Est\u00e1n Pa\u00b4 M\u00ed"", 34]]"
Jhay Cortez,Bad Bunny,Directed,85,,,5,83,DÁKITI,"[[""No Me Conoce - Remix"", 34], [""No Me Conoce - Remix"", 82], [""D\u00c1KITI"", 83], [""C\u00d3MO SE SIENTE - Remix"", 82], [""No Me Conoce - Remix"", 75]]"
Jhay Cortez,Rafa Pabön,Directed,86,,,3,46,Cuando Bebe,"[[""Cuando Bebe"", 32], [""Cuando Bebe"", 46], [""Costear - Equipo Negro Remix"", 46]]"
Jhay Cortez,Almighty,Directed,87,,,7,56,Costear,"[[""Costear"", 33], [""Costear"", 56], [""Se Supone - RMX"", 43], [""Costear - Equipo Negro Remix"", 46], [""Costear - Equipo Rojo Remix"", 52], [""Costear"", 42], [""Se Supone - RMX"", 52]]"
Jhay Cortez,Tainy,Directed,88,,,2,66,Imaginaste,"[[""Imaginaste"", 37], [""Imaginaste"", 66]]"
Jhay Cortez,C. Tangana,Directed,89,,,2,43,¿Cuánto E$?,"[[""\u00bfCu\u00e1nto E$?"", 30], [""\u00bfCu\u00e1nto E$?"", 43]]"
Jhay Cortez,Zion & Lennox,Directed,90,,,3,42,Somos Iguales,"[[""Somos Iguales"", 30], [""Somos Iguales"", 42], [""Somos Iguales"", 38]]"
Jhay Cortez,KAROL G,Directed,91,,,2,40,Deséame Suerte,"[[""Des\u00e9ame Suerte"", 36], [""Des\u00e9ame Suerte"", 40]]"
Jhay Cortez,Haze,Directed,92,,,3,53,Prendemos,"[[""Des\u00e9ame Suerte"", 36], [""Prendemos"", 53], [""Des\u00e9ame Suerte"", 40]]"
Jhay Cortez,Wisin & Yandel,Directed,93,,,3,72,Llueve,"[[""Imaginaste - Remix"", 50], [""Llueve"", 72], [""Imaginaste - Remix"", 57]]"
Jhay Cortez,Ozuna,Directed,94,,,3,67,Emojis de Corazones (feat. Los Legendarios),"[[""Easy - Remix"", 53], [""Emojis de Corazones (feat. Los Legendarios)"", 67], [""Easy - Remix"", 58]]"
Jhay Cortez,Miky Woodz,Directed,95,,,4,52,Se Supone - RMX,"[[""All Eyes On Me"", 33], [""Se Supone - RMX"", 43], [""All Eyes On Me"", 35], [""Se Supone - RMX"", 52]]"
Jhay Cortez,Bryant Myers,Directed,96,,,4,53,Deseos - Remix,"[[""Deseos"", 43], [""Costear - Equipo Rojo Remix"", 52], [""Deseos - Remix"", 53], [""Deseos"", 33]]"
Jhay Cortez,Darell,Directed,97,,,6,56,La Calle,"[[""Se Supone"", 34], [""Se Supone - RMX"", 43], [""100"", 16], [""La Calle"", 56], [""Se Supone - RMX"", 52], [""Se Supone"", 23]]"
Jhay Cortez,Jory Boy,Directed,98,,,2,29,Donde No Se Vea,"[[""Donde No Se Vea"", 29], [""Donde No Se Vea"", 22]]"
Jhay Cortez,Pusho,Directed,99,,,2,29,Donde No Se Vea,"[[""Donde No Se Vea"", 29], [""Donde No Se Vea"", 22]]"
Jhay Cortez,Ñengo Flow,Directed,100,,,3,52,Se Supone - RMX,"[[""Se Supone - RMX"", 43], [""Olvidate"", 26], [""Se Supone - RMX"", 52]]"
Jhay Cortez,Sech,Directed,101,,,2,76,911 - Remix,"[[""Llueve"", 72], [""911 - Remix"", 76]]"
Jhay Cortez,Ankhal,Directed,102,,,1,52,Holy Shit - Remix,"[[""Holy Shit - Remix"", 52]]"
Jhay Cortez,Wisin,Directed,103,,,3,73,Fiel - Remix,"[[""Emojis de Corazones (feat. Los Legendarios)"", 67], [""Fiel - Remix"", 73], [""Fiel"", 60]]"
Jhay Cortez,Los Legendarios,Directed,104,,,3,73,Fiel - Remix,"[[""Emojis de Corazones (feat. Los Legendarios)"", 67], [""Fiel - Remix"", 73], [""Fiel"", 60]]"
Jhay Cortez,Sebastian Yatra,Directed,105,,,1,59,Delincuente,"[[""Delincuente"", 59]]"
Jhay Cortez,Daddy Yankee,Directed,106,,,1,66,SÚBELE EL VOLUMEN,"[[""S\u00daBELE EL VOLUMEN"", 66]]"
Jhay Cortez,Mora,Directed,107,,,2,58,Pegate - Remix,"[[""Pegate - Remix"", 58], [""A Vapor"", 55]]"
Jhay Cortez,Lunay,Directed,108,,,2,53,Prendemos,"[[""Prendemos"", 53], [""Costear - Equipo Negro Remix"", 46]]"
Jhay Cortez,De La Ghetto,Directed,109,,,3,56,La Calle,"[[""100"", 16], [""La Calle"", 56], [""Costear - Equipo Negro Remix"", 46]]"
Jhay Cortez,Eladio Carrion,Directed,110,,,2,52,Costear - Equipo Rojo Remix,"[[""100"", 16], [""Costear - Equipo Rojo Remix"", 52]]"
Jhay Cortez,Alex Sensation,Directed,111,,,1,56,La Calle,"[[""La Calle"", 56]]"
Jhay Cortez,Brytiago,Directed,112,,,1,42,Dispo,"[[""Dispo"", 42]]"
Jhay Cortez,Leebrian,Directed,113,,,1,55,A Vapor,"[[""A Vapor"", 55]]"
Jhay Cortez,Sofía Reyes,Directed,114,,,1,44,A Tu Manera [CORBATA],"[[""A Tu Manera [CORBATA]"", 44]]"
Jhay Cortez,Cali Y El Dandee,Directed,115,,,1,46,Sólo Mía,"[[""S\u00f3lo M\u00eda"", 46]]"
Jhay Cortez,Greeicy,Directed,116,,,1,46,Sólo Mía,"[[""S\u00f3lo M\u00eda"", 46]]"
Jhay Cortez,Mariah Angeliq,Directed,117,,,1,44,Costear - Remix,"[[""Costear - Remix"", 44]]"
Jhay Cortez,Alvaro Diaz,Directed,118,,,1,46,Costear - Equipo Negro Remix,"[[""Costear - Equipo Negro Remix"", 46]]"
Jhay Cortez,Brray,Directed,119,,,1,46,Costear - Equipo Negro Remix,"[[""Costear - Equipo Negro Remix"", 46]]"
Jhay Cortez,Alex Rose,Directed,120,,,1,46,Costear - Equipo Negro Remix,"[[""Costear - Equipo Negro Remix"", 46]]"
Jhay Cortez,Juanka,Directed,121,,,1,52,Costear - Equipo Rojo Remix,"[[""Costear - Equipo Rojo Remix"", 52]]"
Jhay Cortez,Rauw Alejandro,Directed,122,,,1,52,Costear - Equipo Rojo Remix,"[[""Costear - Equipo Rojo Remix"", 52]]"
Jhay Cortez,Justin Quiles,Directed,123,,,1,52,Costear - Equipo Rojo Remix,"[[""Costear - Equipo Rojo Remix"", 52]]"
Jhay Cortez,Lyanno,Directed,124,,,1,52,Costear - Equipo Rojo Remix,"[[""Costear - Equipo Rojo Remix"", 52]]"
Jhay Cortez,Joyce Santana,Directed,125,,,1,52,Costear - Equipo Rojo Remix,"[[""Costear - Equipo Rojo Remix"", 52]]"
Jhay Cortez,Nio Garcia,Directed,126,,,2,53,Deseos - Remix,"[[""Costear - Flow La Movie Remix"", 30], [""Deseos - Remix"", 53]]"
Jhay Cortez,Casper Magico,Directed,127,,,2,53,Deseos - Remix,"[[""Costear - Flow La Movie Remix"", 30], [""Deseos - Remix"", 53]]"
Tony Dize,Yandel,Directed,128,,,8,70,Permitame,"[[""Prometo Olvidarte (Remix) [feat. Yandel]"", 36], [""Prometo Olvidarte - Remix"", 35], [""Perm\u00edtame"", 3], [""Permitame (feat. Yandel)"", 0], [""Permitame"", 24], [""Permitame (feat. Yandel)"", 68], [""Prometo Olvidarte (Remix) [feat. Yandel]"", 35], [""Permitame"", 70]]"
Tony Dize,Nicky Jam,Directed,129,,,2,35,Deseos (feat. Nicky Jam),"[[""Deseos (feat. Nicky Jam)"", 35], [""Deseos"", 33]]"
Tony Dize,Don Omar,Directed,130,,,7,54,Solos (feat. Plan B & Don Omar),"[[""Finge Que Me Amas (feat. Don Omar)"", 26], [""Finge Que Me Amas"", 24], [""Solos"", 2], [""Solos (feat. Don Omar)"", 0], [""El Doctorado feat. Don Omar & Ken-Y"", 51], [""Solos"", 42], [""Solos (feat. Plan B & Don Omar)"", 54]]"
Tony Dize,Arcangel,Directed,131,,,7,48,Mi Amor Es Pobre (feat. Ken Y & Arcangel),"[[""Hasta Verla Sin N\u00e1 (feat. Arcangel)"", 34], [""Hasta Verla Sin N\u00e1"", 34], [""Mi Amor es Pobre"", 1], [""Mi Amor Es Pobre (feat. Ken-Y & Arc Angel)"", 0], [""Mi Amor Es Pobre"", 40], [""Mi Amor Es Pobre (feat. Ken Y & Arcangel)"", 48], [""Hasta Verla Sin Na (feat. Arcangel)"", 39]]"
Tony Dize,Farruko,Directed,132,,,2,38,Si No Te Tengo (feat. Farruko),"[[""Si No Te Tengo (feat. Farruko)"", 38], [""Si No Te Tengo"", 38]]"
Tony Dize,Ñengo Flow,Directed,133,,,2,22,Suelta Por Ahí (feat. Ñengo Flow & Lobo),"[[""Suelta Por Ah\u00ed (feat. \u00d1engo Flow & Lobo)"", 22], [""Suelta por Ah\u00ed"", 20]]"
Tony Dize,Natti Natasha,Directed,134,,,2,27,Te Falto El Valor (feat. Natti Natasha),"[[""Te Falto El Valor (feat. Natti Natasha)"", 27], [""Te Falt\u00f3 el Valor"", 26]]"
Tony Dize,Ken-Y,Directed,135,,,7,51,El Doctorado feat. Don Omar & Ken-Y,"[[""Mi Amor es Pobre"", 1], [""One in a Million"", 0], [""Mi Amor Es Pobre (feat. Ken-Y & Arc Angel)"", 0], [""El Doctorado feat. Don Omar & Ken-Y"", 51], [""Mi Amor Es Pobre"", 40], [""Mi Amor Es Pobre (feat. Ken Y & Arcangel)"", 48], [""One in a Million (feat. Ken Y & Cruzito)"", 26]]"
Tony Dize,Wisin,Directed,136,,,4,34,Ella Me Llama Tarde (feat. Wisin),"[[""Ella me Llama Tarde"", 0], [""Ella me Llama Tarde (feat. Wisin)"", 0], [""Ella Me Llama Tarde"", 26], [""Ella Me Llama Tarde (feat. Wisin)"", 34]]"
Tony Dize,Plan B,Directed,137,,,5,72,Solos (feat. Plan B),"[[""Solos"", 8], [""Solos (feat. Plan B)"", 0], [""Solos"", 57], [""Solos (feat. Plan B & Don Omar)"", 54], [""Solos (feat. Plan B)"", 72]]"
Tony Dize,Cosculluela,Directed,138,,,2,28,A Punto de Cazar (feat. Cosculluela),"[[""A Punto de Cazar"", 19], [""A Punto de Cazar (feat. Cosculluela)"", 28]]"
Tony Dize,Silvestre Dangond,Directed,139,,,1,32,Prometo Olvidarte - Vallenato Version,"[[""Prometo Olvidarte - Vallenato Version"", 32]]"
Rauw Alejandro,Rvssian,Directed,140,,,2,81,Nostálgico,"[[""FCK U X2"", 60], [""Nost\u00e1lgico"", 81]]"
Rauw Alejandro,Ankhal,Directed,141,,,1,61,WUEPA,"[[""WUEPA"", 61]]"
Rauw Alejandro,Tainy,Directed,142,,,4,75,Sci-Fi,"[[""\u00bfCu\u00e1ndo Fue?"", 57], [""Pens\u00e1ndote"", 64], [""Sci-Fi"", 75], [""UNA M\u00c1S"", 49]]"
Rauw Alejandro,Lyanno,Directed,143,,,8,79,LOKERA,"[[""Tengo un Pal"", 55], [""LOKERA"", 79], [""Poderosa"", 63], [""En Tu Cuerpo - Remix"", 67], [""Tu Juego"", 43], [""Ojitos"", 53], [""Cobrale"", 43], [""El Efecto - Remix"", 72]]"
Rauw Alejandro,Sech,Directed,144,,,3,61,Mood,"[[""Mood"", 61], [""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 53], [""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 57]]"
Rauw Alejandro,Zion & Lennox,Directed,145,,,1,57,Química (feat. The Martinez Brothers),"[[""Qu\u00edmica (feat. The Martinez Brothers)"", 57]]"
Rauw Alejandro,J Balvin,Directed,146,,,2,66,De Cora <3,"[[""De Cora <3"", 66], [""De Cora <3"", 47]]"
Rauw Alejandro,Anuel AA,Directed,147,,,5,71,Reloj,"[[""Reloj"", 70], [""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 53], [""Reloj"", 71], [""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 57], [""Fantasias - Remix"", 68]]"
Rauw Alejandro,Wisin & Yandel,Directed,148,,,1,51,No Te Creo,"[[""No Te Creo"", 51]]"
Rauw Alejandro,Arcangel,Directed,149,,,1,60,Soy Una Gargola,"[[""Soy Una Gargola"", 60]]"
Rauw Alejandro,Randy,Directed,150,,,2,60,Soy Una Gargola,"[[""Soy Una Gargola"", 60], [""Odiame o Quiereme"", 49]]"
Rauw Alejandro,Myke Towers,Directed,151,,,5,72,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","[[""Ponte Pa' Mi"", 59], [""Ponte Pa' M\u00ed - Live"", 25], [""La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix"", 72], [""La Nota"", 72], [""Ponte Pa' Mi"", 64]]"
Rauw Alejandro,Dalex,Directed,152,,,5,72,El Efecto - Remix,"[[""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 53], [""Eleg\u00ed - Live"", 27], [""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 57], [""Eleg\u00ed (feat. D\u00edmelo Flow)"", 71], [""El Efecto - Remix"", 72]]"
Rauw Alejandro,Lenny Tavárez,Directed,153,,,5,71,Elegí (feat. Dímelo Flow),"[[""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 53], [""Eleg\u00ed - Live"", 27], [""En Tu Cuerpo - Remix"", 67], [""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 57], [""Eleg\u00ed (feat. D\u00edmelo Flow)"", 71]]"
Rauw Alejandro,Farruko,Directed,154,,,4,68,Fantasias - Remix,"[[""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 53], [""Suelta"", 64], [""Eleg\u00ed (feat. Farruko, Anuel AA, Sech, D\u00edmelo Flow & Justin Quiles) - Remix"", 57], [""Fantasias - Remix"", 68]]"
